step,gasUsed,txHash
strand-exec-canon-B2:msig-execute(executeAction),224535,0xaf96da3d1b97698380e7d9f488293261164481be715a9fb70c25869f4c042ea8
strand-exec-wrap-A2:msig-submit,173875,0xbf2acb16d885e615e885d37220c0fa6f073dbcbd575e5931870469f3cafc97bf
strand-exec-wrap-A2:msig-confirm,57582,0x19acd4311b55c030c8dbae410cb713b8abe6940a12214993a60e30fe5f91fe83
strand-pin-A2:msig-submit,222163,0x4572f42f64fa0cd88f94115f02338f8c67ac8d1135c006eba0fec1886a243b54
strand-pin-A2:msig-confirm,57582,0xf476d5f7deea77dce2fd49dea42d7e730a516fc0d4eb1a00954de11f1f1b6e6d
strand-pin-A2:msig-execute(queue),177009,0xd70fead0cd2f3b83ea5795e62c6a73caf7f0f49b7cdfb15b0b2911823591251c
strand-exec-pin-A2:msig-submit,173875,0xabf74b6d8271c41afbbf27d2746e64b658192d751ee5f913a4b5b978168abd4b
strand-exec-pin-A2:msig-confirm,57582,0x5c7db67ebea4c6267adaf2f644e7e248fb85f7b47833bc2d0a199a2070318888
strand-exec-pin-A2:msig-execute(executeAction),110527,0xfbe1184f541e0a10134df58e8e016bd464b0184dd60ee35aa270c56b4d9cc787
strand-registerWrapped-A2-v2:msig-submit,312776,0xa5d9bddab35af8bc320c12a76d36d101838ba5831289c71ccd76a3a770a42474
strand-registerWrapped-A2-v2:msig-confirm,57582,0x62cc7e3e411ba45407d78ebaf0a0e5e44688bec2f32127612aaababff47aa94e
strand-registerWrapped-A2-v2:msig-execute(queue),275198,0x854d07faacbd7ef25ef625c920068c17385548820d4af7cba3ce3cf5d3296fde
strand-exec-wrap-A2-v2:msig-submit,173875,0x61571a8179c57bdc9849e7c711f619a9bde5ac4a3805a23bfda8ce6c5abc3267
strand-exec-wrap-A2-v2:msig-confirm,57582,0xb15a65bb765799548a4a752cf57be3c17e921b4eb1bc87c91d8c9e892b028872
strand-exec-wrap-A2-v2:msig-execute(executeAction),227853,0xe15cab4e2de7136fca77e12ff616896dfb2b9e4106a540f5db02440a61713761
strand-lock-FOT-B2,155755,0x451fac2d99f1c82f815e9b3dbd8d21f86ed0fe8dd0992f97948b332d2efeb9e7
strand-burn-wFOT-A2,135598,0xd11db2e62733af6aec571fbb13fa0a91ca6c74ff6ebac2698a3ca3f34feffd04
strand-pauseToken-FOT-B2,31444,0x4f3e2c75e0f347376f59f843e4cada5b3f2fab4403e09cbcb7d5820b21c5291e
strand-pauseToken-wFOT-A2,31444,0x712a57729ed2233e2e1e7058e8f3a64adb5cbd943a855454f30738b5ad70f1fd
strand-allowShortDelivery-B2:msig-submit,380975,0xe1a922da23c6f098172ca0e1c1af257173b749f136bd1b2d9cdec9e97535d12b
strand-allowShortDelivery-B2:msig-confirm,57582,0x8f2732f5772326b17e0d41ec57d9d4b6b3b20a7f9bd78f4881200f53317437b2
strand-allowShortDelivery-B2:msig-execute(queue),349472,0x2f2ae7aad20e86740c42341e7f23f92e4988f888464b976973f7e0d6f6a3f486
strand-exec-allowSD-B2:msig-submit,173875,0xce73cc66a690ec653daac32f1dcacda6f0812b7065a9d46b288128779a03a0a1
strand-exec-allowSD-B2:msig-confirm,57582,0x77450251fc1d7b7eb7bb62e4f5c5d8589c49510f2eef3aed12bf6eef8a6bbe71
